tempo,entidade,variavel,valor,cenario
11,barra_29,PS,0.0,0
12,barra_29,PS,0.0,0
13,barra_29,PS,0.0,0
14,barra_29,PS,0.0,0
15,barra_29,PS,0.0,0
16,barra_29,PS,0.0,0
17,barra_29,PS,0.0,0
18,barra_29,PS,0.0,0
19,barra_29,PS,0.0,0
20,barra_29,PS,0.0,0
21,barra_29,PS,0.0,0
22,barra_29,PS,0.0,0
23,barra_29,PS,0.0,0
24,barra_29,PS,0.0,0
1,barra_30,PS,0.0,0
2,barra_30,PS,0.0,0
3,barra_30,PS,0.0,0
4,barra_30,PS,0.0,0
5,barra_30,PS,0.0,0
6,barra_30,PS,0.0,0
7,barra_30,PS,0.0,0
8,barra_30,PS,0.0,0
9,barra_30,PS,0.0,0
10,barra_30,PS,0.0,0
11,barra_30,PS,0.0,0
12,barra_30,PS,0.0,0
13,barra_30,PS,0.0,0
14,barra_30,PS,0.0,0
15,barra_30,PS,0.0,0
16,barra_30,PS,0.0,0
17,barra_30,PS,0.0,0
18,barra_30,PS,0.0,0
19,barra_30,PS,0.0,0
20,barra_30,PS,0.0,0
21,barra_30,PS,0.0,0
22,barra_30,PS,0.0,0
23,barra_30,PS,0.0,0
24,barra_30,PS,0.0,0
1,barra_31,PS,0.0,0
2,barra_31,PS,0.0,0
3,barra_31,PS,0.0,0
4,barra_31,PS,0.0,0
5,barra_31,PS,0.0,0
6,barra_31,PS,0.0,0
7,barra_31,PS,0.0,0
8,barra_31,PS,0.0,0
9,barra_31,PS,0.0,0
10,barra_31,PS,0.0,0
11,barra_31,PS,0.0,0
12,barra_31,PS,0.0,0
13,barra_31,PS,0.0,0
14,barra_31,PS,0.0,0
15,barra_31,PS,0.0,0
16,barra_31,PS,0.0,0
17,barra_31,PS,0.0,0
18,barra_31,PS,0.0,0
19,barra_31,PS,0.0,0
20,barra_31,PS,0.0,0
21,barra_31,PS,0.0,0
22,barra_31,PS,0.0,0
23,barra_31,PS,0.0,0
24,barra_31,PS,0.0,0
1,barra_32,PS,0.0,0
2,barra_32,PS,0.035325852,0
3,barra_32,PS,0.0,0
4,barra_32,PS,0.036602524,0
5,barra_32,PS,0.0,0
6,barra_32,PS,0.024768737,0
7,barra_32,PS,0.0076705411,0
8,barra_32,PS,0.0,0
9,barra_32,PS,0.022694211,0
10,barra_32,PS,0.037968159,0
11,barra_32,PS,0.047853241,0
12,barra_32,PS,0.0,0
13,barra_32,PS,0.064163002,0
14,barra_32,PS,0.064496127,0
15,barra_32,PS,0.0,0
16,barra_32,PS,0.094444,0
17,barra_32,PS,0.017275266,0
18,barra_32,PS,0.0,0
19,barra_32,PS,0.0,0
20,barra_32,PS,0.0,0
